СКАЧАНА КУПЛЕНА,НАЗВАНИЕ,ГОД ИЗДАНИЯ,АВТОРЫ,ЖАНР,ЯЗЫК,ССЫЛКА
TRUE,"Кибернетика, ноосфера и проблемы мира (Сборник статей)",1986,"Гинзбург, Александр Самуилович и другие",Научная литература: прочее ,РУССКИЙ,ССЫЛКА
TRUE,"Приоритеты климатической адаптации мегаполиса: люди, природа, техника. Алгоритм, стратегия и план действий",2019,"Белобородов С.С., Вильфанд Р.М., Гагарин В.Г., Гашо Е.Г., Гинзбург А.С., Гусева Т.В., Гужов С.В, другие","Научная литература, экология, климат",РУССКИЙ,ССЫЛКА
TRUE,"Интервью с А. С. Гинзбургом
«Экология и жизнь» №3",2008,"Ю. Н. Елдышев, Гинзбург Александр Самуилович",Интервью,РУССКИЙ,ССЫЛКА
TRUE,Чем дышит и что пьет мегаполис,2009,"Александр Самуилович Гинзбург, Светлана Амелехина",Интервью,РУССКИЙ,ССЫЛКА
FALSE,"Планета Земля в ""послеядерную"" эпоху (НЕ НАЙДЕНА, МОЖНО КУПИТЬ С РУК)",1988,Гинзбург Александр Самуилович,"Научная литература, экология, климат",РУССКИЙ,ССЫЛКА
TRUE,Ядерные «заморозки» летом 2022?,2022,Гинзбург Александр Самуилович,"Экология, безопасность",РУССКИЙ,ССЫЛКА
TRUE,Nuclear “Frost” in the Summer of 2022?,2022,Aleksandr Ginzburg,"International security, Ecology",ENGLISH,ССЫЛКА
TRUE,Актуальные вопросы исследования изменений климата и адаптации к ним,2021,Гинзбург Александр Самуилович,"Экология, Климат",РУССКИЙ,ССЫЛКА
TRUE,О КЛИМАТЕ НАДО ДУМАТЬ ПО ПРИНЦИПУ «НЕ НАВРЕДИ»,2020,Гинзбург Александр Самуилович,"Экология, Климат",РУССКИЙ,ССЫЛКА
TRUE,КАК РАССКАЗЫВАТЬ О КЛИМАТЕ?,2021,"А.В. Чернокульский, А.С. Гинзбург, А.В. Давыдова, О.Г. Добровидова, Т.А. Нестик, А.А. Скворцов. Общая редакция: А.С. Гинзбург
","Экология, Климат",РУССКИЙ,ССЫЛКА
TRUE,Презентация к российко-британской онлайн конференции road to COP26,2021,Гинзбург Александр Самуилович,"Экология, Климат",ENGLISH,ССЫЛКА
TRUE,Презентация Российско-британский семинар COVID-19 related to climate,2020,Гинзбург Александр Самуилович,"Экология, Климат",ENGLISH,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
FALSE,,,,,,ССЫЛКА
